OBJECTID,NAME,CLASS,POP,INCORPDATE,ANCSA,Labels,Locator,Community_,GlobalID,created_us,created_da,last_edite,last_edi_1,Story_Map_
"203",Candle,Unincorporated,"11","0",N,Candle,K-4,"Candle, K-4",5676d81c-70c1-4993-9ba9-e4ad1e9be4d3,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"204",Solomon,Unincorporated,"0","0",Y,Solomon,I-4,"Solomon, I-4",d0e2af6c-2b80-4335-bd91-8d9a98b03866,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"205",Council,Unincorporated,"0","0",Y,Council*,J-4,"Council*, J-4",0950784d-7b6a-4485-ba26-9e48254164f9,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"206",Marys Igloo,Unincorporated,"0","0",Y,Marys Igloo*,I-4,"Marys Igloo*, I-4",88ef3430-281d-4eed-9416-563da8f7b65d,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"207",Wales,Second Class City,"162","1964",Y,Wales,G-4,"Wales, G-4",b7bc50a3-9bbe-4f3b-9f58-90dff1a3ac67,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"208",Gambell,Second Class City,"653","1963",Y,Gambell,F-5,"Gambell, F-5",4c8873b9-d236-41e5-8e79-c8354f563108,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"209",Saint Mary's,First Class City,"504","1967",Y,Saint Mary's,J-5,"Saint Mary's, J-5",352b1921-c9e0-4d32-9f90-9b26b54432d3,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"210",Pilot Station,Second Class City,"547","1969",Y,Pilot Station,J-6,"Pilot Station, J-6",aaed9a84-0414-4cb4-a22c-38b289eaf889,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"211",Scammon Bay,Second Class City,"459","1967",Y,Scammon Bay,I-6,"Scammon Bay, I-6",b63a879a-696d-4072-a27d-538b342a0c6b,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"212",Hooper Bay,Second Class City,"1012","1966",Y,Hooper Bay,H-6,"Hooper Bay, H-6",5c952652-3b63-4ecb-8f56-99e40ea32c11,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"213",Nunam Iqua,Second Class City,"150","1974",Y,Nunam Iqua,I-5,"Nunam Iqua, I-5",baae3d1d-6f7e-4e28-9af8-c6135c8eb2f5,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
