OBJECTID_1,SQUARE_MIL,NAME,DISPLAY,CLASS_TYPE,INCRP_DATE,Updated,created_us,created_da,last_edite,last_edi_1,GlobalID,SHAPE_1STA,SHAPE_1STL
"25",17.907025330000000,Tenakee Springs,Y,Second Class City,"1971",Yes,,,,,{8934650A-6861-439B-990B-008E65EEF51E},46378982.680786132812500,38420.271465268502652
"27",3.173058770000000,Napaskiak,Y,Second Class City,"1971",Yes,,,,,{91BD9FEB-4560-4E44-B1DF-774353ACC01D},8218184.498535156250000,12468.444777470498593
"29",35.489372029999998,Stebbins,Y,Second Class City,"1969",Yes,,,,,{71EB6749-12A0-42AE-95F0-044C1371D92A},91917051.590026855468750,55485.018407098570606
"31",8.474606059999999,Aniak,Y,Second Class City,"1972",Yes,,,,,{6D13A042-49A9-40E3-95BA-6A5A4E5F343F},21949128.929473876953125,20863.761511084176163
"32",15.851724300000001,Chignik,Y,Second Class City,"1983",Yes,,,,,{79FC83E3-9238-4F8F-831A-7683E3D5396A},41055777.450057983398438,26066.734477529520518
"33",47.941325829999997,McGrath,Y,Second Class City,"1975",Yes,,,,,{1C78E1DC-A1E7-4B09-9BAB-0FFFBEE3B879},124167463.869346618652344,45013.833598453784361
"35",7.066564150000000,Mekoryuk,Y,Second Class City,"1969",Yes,,,,,{7A32E38C-AD91-4C98-8ABF-ED4BD42F23FC},18302317.138183593750000,31212.365455854931497
"36",4.647819790000000,Kupreanof,Y,Second Class City,"1975",Yes,,,,,{C98668E2-BA75-48A2-9AE0-1F90475D7455},12037797.984130859375000,20601.648022331472021
"37",1.880773650000000,Pilot Station,Y,Second Class City,"1969",Yes,,,,,{C4A6692A-7C28-44DD-883F-CEEB377E1B75},4871181.387023925781250,9753.861761514366663
"38",19.635886459999998,Whittier,Y,Second Class City,"1969",Yes,,,,,{68580F39-DDC8-4FE3-B6D4-D28726556B16},50856712.467895507812500,36775.123534236307023
"39",11.499604250000001,Shageluk,Y,Second Class City,"1970",Yes,,,,,{CC1B631B-00BA-497F-A2C6-D7B8B087A057},29783838.282714843750000,24154.035197537727072
"40",22.588551880000001,Old Harbor,Y,Second Class City,"1966",Yes,,,,,{99C7FA73-01CE-47AE-9EAA-7D73C5C8C671},58504080.795484542846680,34273.510238934366498
